국제표준연속 간행물번호(전자식),국제표준연속 간행물번호(종이식),학술지명(국문),학술지명(외국어),등재 구분,학술지 연구분야,창간년도,발행간기,사용언어,발행기관명(국문),발행기관명(영문),부설연구소 소속 대학,기관 구분
,12293202,교육과정연구,The Journal of Curriculum Studies,등재,사회과학 > 교육학,1920,연4회,"한국어,한국어",한국교육과정학회,The Korean Society For Curriculum Studies ,,학회
,15982750,Korea and the World Economy, Korea and the World Economy,등재,사회과학 > 경제학,1930,연3회,"한국어,영어",한국경제연구학회,Association Of Korean Economic Studies,,학회
20055013,17386586,Journal of Clinical Neurology,,등재,의약학 > 신경과학 > 일반신경학,1940,연4회,영어,대한신경과학회,Korean Neurological Association,,학회
27338932,12250449,한글,HAN-GEUL,등재,인문학 > 한국어와문학,1932,연4회,"한국어,영어",한글학회,,,학회
,10134719,진단학보,The Chin-Tan Society,등재,인문학 > 역사학,1934,연2회,한국어,진단학회,,,학회
,3779556,약 학 회 지,YAKHAK HOEJI,등재,의약학 > 약학,1948,연6회,"한국어,영어",대한약학회,The Pharmaceutical Society Of Korea,,학회
,19758456,대한의사협회지,Journal of the Korean Medical Association,등재,의약학 > 기타의약학,1948,연12회,"한국어,영어",대한의사협회,,,학회
,12250376,동국사학,The Dongguk Historical Society,등재,인문학 > 역사학,1948,연3회,"한국어,영어",동국역사문화연구소,Dongguk history & culture institute,동국대학교,대학부설연구소
22348530,10172548,대한화학회지,Journal of the Korean Chemical Society,등재,자연과학 > 화학,1949,연6회,"한국어,영어",대한화학회,,,학회
26718456,15984729,법조,Korean Lawyers Association Journal,우수등재,사회과학 > 법학,1949,연6회,"한국어,한국어",법조협회,Korean Lawyers Association,,일반기관
,3764672,대한치과의사협회지,The Journal of the Korean Dental Association,등재,의약학 > 치의학 > 기타치의학,195,연12회,"한국어,영어",대한치과의사협회,korea dental association,,학회
27139824,4402324,학림,HAKLIM,등재,인문학 > 역사학,1950,연2회,"한국어,영어",연세사학연구회,Yonsei HIstorical Association,,학회
,20931557,군사연구,Journal of Military History Studies,등재,인문학 > 역사학,1951,연2회,"한국어,영어",육군군사연구소,ROK Army Military History Institute,,일반기관
22874364,19758359,전기학회논문지,,등재,공학 > 전기공학,1951,연12회,"한국어,영어",대한전기학회,,,학회
,4510097,국어국문학,The Korean Language and Literature,우수등재,인문학 > 한국어와문학,1952,연4회,"한국어,영어",국어국문학회,,,학회
,12251615,역사학보,YOKSA HAKBO,우수등재,인문학 > 역사학,1952,연4회,"한국어,한국어",역사학회,The Korean Historical Association,,학회
27136175,1226377x,경제학연구,The Korean Journal of Economic Studies,우수등재,사회과학 > 경제학,1953,연4회,한국어,한국경제학회,The Korean Economic Association,,학회
